iteration,best_iteration,stopped_iteration,is_best_iteration,is_stopped_iteration,train_ndcg@50,valid_ndcg@50,train_ndcg@100,valid_ndcg@100,train_ndcg@200,valid_ndcg@200
1,160,245,False,False,0.5627715231430579,0.49639206065610136,0.5557022370004586,0.48677324166239005,0.5505414749492865,0.5022354177946854
2,160,245,False,False,0.5538363859054882,0.527207466673646,0.5622766164031788,0.5320826325555013,0.5698440359847495,0.5340440573077492
3,160,245,False,False,0.6808278729448366,0.6279438346972315,0.6662035235821314,0.6214164353880723,0.6415009847457246,0.606623584025427
4,160,245,False,False,0.6758767872050762,0.6418892253512392,0.6690144482832534,0.6275493505451953,0.6478977917879437,0.602915498915498
5,160,245,False,False,0.6841203516131331,0.6423073498163916,0.6765539258674225,0.6259246414152492,0.6508540473489097,0.5969245880939537
6,160,245,False,False,0.6864528828320838,0.6410984772734616,0.6721917955719667,0.6236492155748709,0.6539152485273475,0.5992282898237952
7,160,245,False,False,0.6887834075003011,0.6430758896563262,0.6702002229533498,0.6286757281314154,0.6543457420016258,0.6002395188683805
8,160,245,False,False,0.7029996746268539,0.6578703007215306,0.6833120241537782,0.6210959383199038,0.6612939888452648,0.5966928064076774
9,160,245,False,False,0.7042201218207977,0.6530932728151341,0.6835066229914819,0.6245252445986811,0.6625082134692751,0.5965402461362408
10,160,245,False,False,0.7112217392400685,0.6392173209186071,0.68986685557851,0.6189900572593581,0.6659265194877226,0.5948868409526136
11,160,245,False,False,0.7075492963180042,0.6380292534473349,0.6872796964217937,0.6199910398217838,0.6658248269547669,0.597125072684011
12,160,245,False,False,0.708167993353847,0.6416851661861751,0.6885268414355772,0.6218449507889515,0.6653075858391247,0.5958212695724513
13,160,245,False,False,0.7166635318169867,0.6356842202991919,0.6930775506275211,0.6188239513202136,0.6682205196190377,0.5963153082910579
14,160,245,False,False,0.7293176951420527,0.6660386567586493,0.7060192225217419,0.6210924770463698,0.6757768961373091,0.6013215290089746
15,160,245,False,False,0.7324687371992775,0.6622611594021671,0.7073909511288072,0.618241734262075,0.677211042456202,0.5990925080037114
16,160,245,False,False,0.735201067235451,0.6761111144307929,0.7091031828193904,0.6240970331213372,0.6785775428746348,0.6011670961132994
17,160,245,False,False,0.7357098048582172,0.6743599742664933,0.7087396808919588,0.6245450858338751,0.6783013263955034,0.5995289953963836
18,160,245,False,False,0.7386878794343608,0.6742240101596857,0.7116558622599448,0.6242528569382555,0.6792876813983785,0.6003602610680783
19,160,245,False,False,0.7439700987781919,0.6705167559962947,0.7165169819774183,0.6203818302791716,0.6815017030415715,0.5980807618053263
20,160,245,False,False,0.7496815913780409,0.6747182354651774,0.7211060961148901,0.6181298920129835,0.6835945756489031,0.5970938594616809
21,160,245,False,False,0.7513412784544643,0.6776011592719127,0.7218016596945301,0.6200045566593092,0.6846710728257792,0.5978312003853189
22,160,245,False,False,0.7547784339847435,0.681973614708785,0.7247314579166008,0.6223481091224174,0.6860566549934257,0.5981709826222803
23,160,245,False,False,0.7564564713206782,0.6799646545444527,0.7269124849399305,0.6189087803159509,0.6868911904878987,0.5946916832001401
24,160,245,False,False,0.7582052586379703,0.6848029424879452,0.7294946776687833,0.6223584946296238,0.6887982709838684,0.5948575870894495
25,160,245,False,False,0.7615322339164693,0.6880667694807896,0.7321679779219715,0.6243501402312234,0.6899333394357821,0.5970983265130914
26,160,245,False,False,0.7632604970806148,0.6865442281791633,0.7331298869281245,0.6240725548244347,0.6906046943329166,0.5976414178700837
27,160,245,False,False,0.7644521578554884,0.6838772484766912,0.7345919621522253,0.6258400875250094,0.6908962516744399,0.5962084703870714
28,160,245,False,False,0.7650112734394204,0.6878948493229025,0.7354701351779115,0.626041608667054,0.6915477919969782,0.5963193742247878
29,160,245,False,False,0.7659685811947748,0.6896032122869746,0.737216144556799,0.6303600628169252,0.6917536158146455,0.5972526371498525
30,160,245,False,False,0.7686436625930361,0.6971249965040817,0.7398438850558121,0.6335302526254795,0.6936189668439474,0.5969345847605013
31,160,245,False,False,0.7698759536818974,0.693220559359475,0.7418559292012848,0.6270641310144944,0.6947244850991596,0.5959020020868895
