iteration,best_iteration,stopped_iteration,is_best_iteration,is_stopped_iteration,train_ndcg@50,valid_ndcg@50,train_ndcg@100,valid_ndcg@100,train_ndcg@200,valid_ndcg@200
1,5,202,False,False,0.6302550907760902,0.5567979601532306,0.6099042347906237,0.5342995802205974,0.5885223499782731,0.5468257344941808
2,5,202,False,False,0.643566576249677,0.5761853383426779,0.6350529925325147,0.6021212248763569,0.6254807271459,0.6165427008592296
3,5,202,False,False,0.6450801831840336,0.5843780870756597,0.6617128117973715,0.6180018901198518,0.6341315276472956,0.6298116045974159
4,5,202,False,False,0.650189689448582,0.5863081036817352,0.6628916039496249,0.6230472801034207,0.6552225233799024,0.627526947438718
5,5,202,True,False,0.6691871762003677,0.5927690071465463,0.6751401044643041,0.6250960767601526,0.6560946895422182,0.6323261621430807
6,5,202,False,False,0.6900831015252035,0.557985824138706,0.6827228265899504,0.5863865330575895,0.6624013324885438,0.6230518141871805
7,5,202,False,False,0.6901100510102105,0.557985824138706,0.6819111957586137,0.5837129714401516,0.6643042747901591,0.610444721897692
8,5,202,False,False,0.6901725711604689,0.557985824138706,0.6842277404982389,0.5861458097088039,0.6638619782250368,0.6159245320276728
9,5,202,False,False,0.7212332512038135,0.6162176572061201,0.6872665768816809,0.6047951759705885,0.6693353349084666,0.6299565061081119
10,5,202,False,False,0.7236174833127983,0.6299395861715121,0.696579407936557,0.6064454381532653,0.6736420271718259,0.6291149592566225
11,5,202,False,False,0.7200088116932375,0.638979708669283,0.7040551782472521,0.6377283664970902,0.6748568869249131,0.6262227931604445
12,5,202,False,False,0.7266415873218481,0.6317995606990313,0.710575113802785,0.6363912323151225,0.6796716987255864,0.6226579574306046
13,5,202,False,False,0.7283860885349259,0.6483572569063094,0.7131605458066473,0.6457113750752104,0.6803336401785177,0.6216622414276728
14,5,202,False,False,0.7299199892268103,0.6450201960602842,0.7111694250448383,0.6411435527358477,0.6806861012442564,0.6196502036089553
15,5,202,False,False,0.7302800506565554,0.6409074800283514,0.7141572077566598,0.639552941209129,0.6807866688960169,0.6157712409421526
16,5,202,False,False,0.7304800841165465,0.6361237314448338,0.7140993706985734,0.6317295972412057,0.6807488912029614,0.6131742419643619
17,5,202,False,False,0.7346300405404896,0.6558794155596234,0.7184681032512023,0.646461792704394,0.6822745894829176,0.61716810739085
18,5,202,False,False,0.734778425297266,0.6607934512206589,0.7196397854923665,0.6467318966903348,0.6821590087740451,0.6158163727690241
19,5,202,False,False,0.7373294441471654,0.6604335330932657,0.7221517014730463,0.6448445725341877,0.6830773193260771,0.6139876293942438
20,5,202,False,False,0.7379110081798754,0.6590716307007234,0.7227703627208417,0.6392211946814842,0.6833812016121626,0.6130903173663422
21,5,202,False,False,0.742294886460528,0.6481182973339207,0.7253293025255477,0.6310435338744047,0.6843314367279663,0.6059909562089317
22,5,202,False,False,0.7433397134077454,0.6503875490349712,0.7249103365694799,0.6314380023582856,0.6848545307747534,0.6043882331245487
23,5,202,False,False,0.743773092817446,0.6510414088483141,0.7264929400628612,0.6339389597800494,0.685350560225257,0.6034614218090799
24,5,202,False,False,0.7433479987535799,0.6494905259670576,0.7280146762759568,0.6331451731953289,0.6856969583684204,0.6018771656993508
25,5,202,False,False,0.7496543832708259,0.644925344840184,0.7321637250071326,0.6314742927151114,0.6877010423024776,0.6014611041163106
26,5,202,False,False,0.7508690981887621,0.6436932367850277,0.7327351689632011,0.6287811862564835,0.6881157620555207,0.6006149140249601
27,5,202,False,False,0.7533265817156546,0.6451485760136385,0.7336021302777908,0.6276217191353,0.6889739157370811,0.6030953825136637
28,5,202,False,False,0.754650924838969,0.646840247996714,0.7340047412684966,0.6270519282063101,0.6895413107044122,0.6054397770391547
29,5,202,False,False,0.7572575681394682,0.6468174539214852,0.7351628022047648,0.6262131416394637,0.6900519203409903,0.6033672573642851
30,5,202,False,False,0.7595048382549946,0.6512546818702226,0.7360311695020496,0.6278336898658283,0.6904477963467367,0.6014491551742461
31,5,202,False,False,0.759668725319561,0.6504496511581856,0.7360975302083648,0.627885498325427,0.6909527584497314,0.6021617221565136
32,5,202,False,False,0.7618217678292033,0.6488678033985185,0.7376383004488506,0.6270893699326309,0.6916840657538246,0.6007747038617134
33,5,202,False,False,0.7629894510681404,0.6489964593769936,0.7378840675593566,0.6279125717706687,0.6922218173306657,0.6010451351952922
34,5,202,False,False,0.7636566330616558,0.6487363485514676,0.738061601888373,0.6277857011289196,0.6925214604051338,0.6011272135199064
35,5,202,False,False,0.764598102346013,0.6488751561131021,0.7382892968709834,0.6277717779356211,0.692710993874311,0.604337562886792
36,5,202,False,False,0.7667519402002992,0.6567278761997641,0.7396128109729223,0.6327222136257872,0.6934695371942368,0.606528156213999
37,5,202,False,False,0.7680271989951959,0.6558103286206541,0.7405947316098958,0.632611988643769,0.6936621600542556,0.6066716364402781
38,5,202,False,False,0.7684826563911012,0.655494032756063,0.7411268896686849,0.6335197529655284,0.6938344287257099,0.6075859401146991
39,5,202,False,False,0.7712516487267232,0.662399225737648,0.7428627411531172,0.6368563479100331,0.6945844821056457,0.6085767334113884
40,5,202,False,False,0.7709116198471454,0.6616112413972931,0.743409791156264,0.6366551667700837,0.6950272541903965,0.6075308279700753
41,5,202,False,False,0.7723070761536607,0.6680631155351987,0.7441520254836071,0.6395306834313457,0.6957147233545041,0.6097828799712218
