date,close,sp500_return_date,sp500_return,mean_return_5,mean_return_10,mean_return_20,mean_return_100,mean_return_500
1990-01-02,359.69000244140625,1990-12-31,-0.0819316662144475,0.1129176169633865,0.0470747053623199,-0.0027565541677176,-0.0991808697581291,-0.1149534806609153
1990-01-03,358.760009765625,1991-01-02,-0.0900601981243718,-0.0729566365480423,-0.0978840813040733,-0.0682785660028457,-0.096792533993721,-0.1183885261416435
1990-01-04,355.6700134277344,1991-01-03,-0.0949194716761929,-0.0567706897854805,0.0140288975089788,-0.0310690645128488,-0.0957261249423027,-0.1243055239319801
1990-01-05,352.20001220703125,1991-01-04,-0.088586062253431,0.0723404213786125,-0.0181162115186452,-0.0143332779407501,-0.0967779383063316,-0.1233213171362876
1990-01-08,353.7900085449219,1991-01-07,-0.1083976516500357,0.0122072994709014,-0.0659412667155265,-0.0700131952762603,-0.1057852357625961,-0.1276584863662719
1990-01-09,349.6199951171875,1991-01-08,-0.0993078247972215,0.1613851934671402,0.0788886398077011,0.0282472819089889,-0.1132725998759269,-0.1306636333465576
1990-01-10,347.3099975585937,1991-01-09,-0.103135549152096,-0.0098909679800271,-0.0856441482901573,-0.0843452215194702,-0.11749729514122,-0.1330763846635818
1990-01-11,348.5299987792969,1991-01-10,-0.0975525783120039,0.0946713164448738,0.0034056813456118,-0.0648914948105812,-0.1064721271395683,-0.127966046333313
1990-01-12,339.92999267578125,1991-01-11,-0.0726619663508524,0.0731431394815445,0.0462086796760559,0.0110169379040598,-0.1023156270384788,-0.1124305576086044
1990-01-15,337.0,1991-01-14,-0.0727299993045251,0.1083961278200149,0.0497692041099071,0.0164009127765893,-0.1077353954315185,-0.1183590292930603
1990-01-16,340.75,1991-01-15,-0.0792956390716709,0.1657319217920303,0.0375454686582088,0.0220631118863821,-0.1111306473612785,-0.1175050064921379
1990-01-17,337.3999938964844,1991-01-16,-0.0629222906129139,0.1019872650504112,0.0351759418845176,0.0269755125045776,-0.1035302132368087,-0.1132833883166313
1990-01-18,338.19000244140625,1991-01-17,-0.0302197023771387,0.1114368066191673,0.1529169529676437,0.0445667020976543,-0.0959474444389343,-0.0925557389855384
1990-01-19,339.1499938964844,1991-01-18,-0.0204039010310829,0.1669190227985382,0.0217601023614406,0.0120294066146016,-0.0907420739531517,-0.0900794118642807
1990-01-22,330.3800048828125,1991-01-21,0.0020582137712068,0.1282659024000167,0.008453301154077,0.0077709495089948,-0.0896529406309127,-0.0816241130232811
1990-01-23,331.6099853515625,1991-01-22,-0.0099514126194669,0.1223681196570396,-0.0153261572122573,-0.0325876101851463,-0.0823176875710487,-0.0817316845059394
1990-01-24,330.260009765625,1991-01-23,-0.0001514513082657,0.1593053042888641,0.0936475321650505,-0.009362120181322,-0.0613918341696262,-0.0663405880331993
1990-01-25,326.0799865722656,1991-01-24,0.0266806077198582,0.1909419745206833,0.1118594259023666,0.0573207214474678,-0.0558201633393764,-0.0507580265402793
1990-01-26,325.79998779296875,1991-01-25,0.0315224675139524,0.1131610125303268,0.0142031610012054,0.0283373296260833,-0.0574363283812999,-0.0423633717000484
1990-01-29,325.20001220703125,1991-01-28,0.0333025404850568,0.1416876018047332,0.0488628670573234,0.015149300917983,-0.0496202893555164,-0.0463156215846538
1990-01-30,322.9800109863281,1991-01-29,0.0398166602084451,0.1828979402780532,0.0548059232532978,0.0545993745326995,-0.0289174746721982,-0.0309794694185256
1990-01-31,329.0799865722656,1991-01-30,0.0359487588809837,0.0827209502458572,0.0344099327921867,0.0345569886267185,-0.0359832718968391,-0.0181757621467113
1990-02-01,328.7900085449219,1991-01-31,0.0460475797237944,0.0353334248065948,-0.0344466902315616,0.0239589028060436,-0.0432437323033809,-0.0099517675116658
1990-02-02,330.9200134277344,1991-02-01,0.036655306034802,0.0389460250735282,0.0170456208288669,0.0059116361662745,-0.0385529808700084,-0.0087429592385888
1990-02-05,331.8500061035156,1991-02-04,0.0496910951667459,0.0491548925638198,-0.0032160258851945,0.0029801616910845,-0.0164920575916767,0.0028347035404294
1990-02-06,329.6600036621094,1991-02-05,0.0655220708110375,0.0469873957335948,0.0457768030464649,0.0517279617488384,0.0094828177243471,0.0132100563496351
1990-02-07,333.75,1991-02-06,0.0728689358029026,-0.1067369133234024,-0.0622343011200428,-0.0051067331805825,0.0072699808515608,0.0262710563838481
