date,close,top_mean_target,bottom_mean_target,long_short,n,sp500_entry_date,sp500_return_date,sp500_return,mean_return_top_gross,mean_return_bottom_gross,sp500_return_gross,alpha_top
1990-01-02,359.69000244140625,-0.1025081899482756,-0.103459701500833,0.0009515115525573,804.0,1990-01-02,1990-12-31,-0.0819316662144475,0.8974918100517244,0.896540298499167,0.9180683337855524,-0.020576523733828
1990-01-03,358.760009765625,-0.0923909716773778,-0.0331210988108068,-0.0592698728665709,804.0,1990-01-03,1991-01-02,-0.0900601981243718,0.9076090283226222,0.9668789011891932,0.9099398018756282,-0.0023307735530059
1990-01-04,355.6700134277344,-0.1141293021268211,-0.0383236831985414,-0.0758056189282797,804.0,1990-01-04,1991-01-03,-0.0949194716761929,0.885870697873179,0.9616763168014586,0.905080528323807,-0.0192098304506281
1990-01-05,352.20001220703125,-0.0916038845898583,-0.0536684352904558,-0.0379354492994025,804.0,1990-01-05,1991-01-04,-0.088586062253431,0.9083961154101416,0.9463315647095442,0.911413937746569,-0.0030178223364272
1990-01-08,353.7900085449219,-0.1372596872039139,-0.0372308930265717,-0.1000287941773422,804.0,1990-01-08,1991-01-07,-0.1083976516500357,0.8627403127960861,0.9627691069734284,0.8916023483499642,-0.0288620355538781
1990-01-09,349.6199951171875,-0.1022938237758353,-0.096571291424334,-0.0057225323515012,804.0,1990-01-09,1991-01-08,-0.0993078247972215,0.8977061762241647,0.903428708575666,0.9006921752027784,-0.0029859989786137
1990-01-10,347.3099975585937,-0.1436061043990776,-0.0661991899833083,-0.0774069144157692,804.0,1990-01-10,1991-01-09,-0.103135549152096,0.8563938956009224,0.9338008100166916,0.896864450847904,-0.0404705552469815
1990-01-11,348.5299987792969,-0.1267759760143235,-0.0677050822414457,-0.0590708937728777,804.0,1990-01-11,1991-01-10,-0.0975525783120039,0.8732240239856766,0.9322949177585544,0.902447421687996,-0.0292233977023195
1990-01-12,339.92999267578125,-0.1336092808633111,-0.0211628649383783,-0.1124464159249328,804.0,1990-01-12,1991-01-11,-0.0726619663508524,0.8663907191366889,0.9788371350616216,0.9273380336491476,-0.0609473145124586
1990-01-15,337.0,-0.1398457435891032,-0.0649697298184037,-0.0748760137706995,804.0,1990-01-15,1991-01-14,-0.0727299993045251,0.8601542564108968,0.9350302701815963,0.9272700006954748,-0.067115744284578
1990-01-16,340.75,-0.1333658402552828,-0.0805627640336752,-0.0528030762216076,804.0,1990-01-16,1991-01-15,-0.0792956390716709,0.8666341597447171,0.9194372359663248,0.9207043609283292,-0.0540702011836118
1990-01-17,337.3999938964844,-0.1079116714186966,-0.0215590633451938,-0.0863526080735027,804.0,1990-01-17,1991-01-16,-0.0629222906129139,0.8920883285813034,0.9784409366548062,0.937077709387086,-0.0449893808057826
1990-01-18,338.19000244140625,-0.0903195953229442,0.0059392707422375,-0.0962588660651818,804.0,1990-01-18,1991-01-17,-0.0302197023771387,0.9096804046770558,1.0059392707422374,0.9697802976228612,-0.0600998929458054
1990-01-19,339.1499938964844,-0.0796255880151875,-0.0123404530575498,-0.0672851349576376,804.0,1990-01-19,1991-01-18,-0.0204039010310829,0.9203744119848124,0.9876595469424502,0.9795960989689172,-0.0592216869841045
1990-01-22,330.3800048828125,-0.0590704987524077,-0.0197957501281052,-0.0392747486243024,804.0,1990-01-22,1991-01-21,0.0020582137712068,0.9409295012475924,0.9802042498718948,1.0020582137712069,-0.0611287125236145
1990-01-23,331.6099853515625,-0.0609615526045672,-0.0252766426652669,-0.0356849099393002,804.0,1990-01-23,1991-01-22,-0.0099514126194669,0.9390384473954329,0.9747233573347333,0.990048587380533,-0.0510101399851002
1990-01-24,330.260009765625,-0.036866888217628,0.0089979596436023,-0.0458648478612303,804.0,1990-01-24,1991-01-23,-0.0001514513082657,0.963133111782372,1.0089979596436025,0.9998485486917342,-0.0367154369093622
1990-01-25,326.0799865722656,-0.0113584307953715,0.0320928711444139,-0.0434513019397854,805.0,1990-01-25,1991-01-24,0.0266806077198582,0.9886415692046284,1.032092871144414,1.0266806077198585,-0.0380390385152297
